"Unfiltered word count","Occurrences","Percentage"
"onderwijs",85,0.0422
"beetje",85,0.0422
"duidelijk",85,0.0422
"soort",85,0.0422
"blijft",85,0.0422
"horen",85,0.0422
"nooit",84,0.0417
"wereld",83,0.0412
"woorden",83,0.0412
"zonder",83,0.0412
"laatste",83,0.0412
"kijk",82,0.0407
"thieme",82,0.0407
"geldt",81,0.0402
"maatregelen",81,0.0402
"daarmee",81,0.0402
1,80,0.0397
"inkomens",80,0.0397
"keuze",80,0.0397
"daarvoor",80,0.0397
"werd",80,0.0397
"deel",79,0.0392
"nieuwe",78,0.0387
"snel",78,0.0387
"me",77,0.0382
"toekomst",77,0.0382
"paar",76,0.0377
"daarbij",76,0.0377
"zetten",76,0.0377
"volgende",76,0.0377
"reactie",76,0.0377
"belangrijk",76,0.0377
"vrijheden",75,0.0372
"eerlijk",75,0.0372
"kant",74,0.0367
"halen",74,0.0367
"islam",74,0.0367
"waarden",74,0.0367
"economische",74,0.0367
"vooral",74,0.0367
"bijna",73,0.0362
"politieke",73,0.0362
"sgp",73,0.0362
"orde",72,0.0358
"termijn",72,0.0358
"hard",72,0.0358
"betalen",72,0.0358
"ten",72,0.0358
"geweest",71,0.0353
"verantwoordelijkheid",71,0.0353
"vorig",71,0.0353
"inkomen",71,0.0353
"economie",71,0.0353
"uiteindelijk",71,0.0353
"ging",70,0.0348
"haar",70,0.0348
"verkiezingen",70,0.0348
"arbeid",70,0.0348
"vanuit",70,0.0348
"doe",70,0.0348
"ziet",69,0.0343
"plaats",69,0.0343
"gegeven",69,0.0343
"turkije",68,0.0338
"lang",67,0.0333
"binnen",67,0.0333
"hoor",66,0.0328
"woord",66,0.0328
"problemen",66,0.0328
"drie",66,0.0328
"betreft",66,0.0328
"voorstellen",65,0.0323
"vluchtelingen",65,0.0323
"cijfers",65,0.0323
"voorkomen",65,0.0323
"mogen",64,0.0318
"groepen",64,0.0318
"verschil",64,0.0318
"bureaucratie",64,0.0318
"zodat",64,0.0318
"gelijk",63,0.0313
"allerlei",63,0.0313
"blijkt",63,0.0313
"hen",63,0.0313
"soms",63,0.0313
"crisis",62,0.0308
"fractie",62,0.0308
"gisteren",62,0.0308
"…",61,0.0303
"enige",61,0.0303
2017,61,0.0303
"veiligheid",60,0.0298
"overigens",60,0.0298
"recht",60,0.0298
"blij",59,0.0293
"regering",59,0.0293
"geeft",59,0.0293
"niemand",59,0.0293
"proberen",59,0.0293
"anderen",59,0.0293
"afspraken",59,0.0293
"kun",59,0.0293
"slot",59,0.0293
"plan",58,0.0288
"geleden",58,0.0288
"voldoende",58,0.0288
"erg",58,0.0288
"gebeuren",58,0.0288
"nr",57,0.0283
"eerst",57,0.0283
"hoop",57,0.0283
"koopkracht",57,0.0283
"jongeren",57,0.0283
"geef",56,0.0278
"democratie",55,0.0273
"overheid",55,0.0273
"iedere",55,0.0273
"zorgverzekeraars",55,0.0273
"ervan",55,0.0273
"kosten",55,0.0273
"kiezen",54,0.0268
"gezien",54,0.0268
"algemene",54,0.0268
"gegaan",54,0.0268
"europese",54,0.0268
"lijkt",54,0.0268
"praten",53,0.0263
"gehad",53,0.0263
"stellen",53,0.0263
"keuzes",53,0.0263
"bijdrage",53,0.0263
"week",53,0.0263
"eerder",53,0.0263
"genoeg",53,0.0263
"per",53,0.0263
"kuzu",52,0.0258
"banen",52,0.0258
"belang",52,0.0258
"maanden",52,0.0258
"terecht",52,0.0258
"feit",52,0.0258
"daarvan",52,0.0258
"kans",51,0.0253
"ligt",51,0.0253
"werkenden",50,0.0248
"klein",50,0.0248
"waarop",50,0.0248
"meningsuiting",50,0.0248
"hoort",50,0.0248
"verschillen",49,0.0243
"voelen",49,0.0243
"hand",49,0.0243
"vier",49,0.0243
"sociale",49,0.0243
"huidige",49,0.0243
"werkt",48,0.0238
"voorstel",48,0.0238
"gesproken",48,0.0238
"bontes",48,0.0238
"via",48,0.0238
"onderzoek",48,0.0238
"gesteld",48,0.0238
"mooie",47,0.0233
"pleur",47,0.0233
"maak",47,0.0233
"kijkt",47,0.0233
"best",46,0.0228
"vanaf",46,0.0228
"bekijken",46,0.0228
"daarin",46,0.0228
"doel",46,0.0228
"vond",46,0.0228
"man",46,0.0228
"thuis",46,0.0228
5,45,0.0223
"plannen",45,0.0223
"stuk",45,0.0223
"bereid",45,0.0223
"lage",45,0.0223
"gelukkig",45,0.0223
"organisaties",45,0.0223
"spreken",45,0.0223
"zeer",45,0.0223
"planbureau",45,0.0223
"gehoord",45,0.0223
"vrij",45,0.0223
"periode",44,0.0218
"klopt",44,0.0218
"pvdd",44,0.0218
"geworden",44,0.0218
"dank",44,0.0218
"wanneer",44,0.0218
"aanpakken",44,0.0218
"turkse",44,0.0218
"later",44,0.0218
"hetzelfde",44,0.0218
"verhaal",44,0.0218
"snap",44,0.0218
"waardoor",44,0.0218
"opvang",43,0.0214
"zekerheid",43,0.0214
"alsof",43,0.0214
"ongeveer",43,0.0214
"lopen",42,0.0209
"open",42,0.0209
"gevraagd",42,0.0209
"immers",42,0.0209
"kwam",42,0.0209
"beeld",42,0.0209
"begin",42,0.0209
"vorige",42,0.0209
"inmiddels",42,0.0209
"valt",42,0.0209
"vast",42,0.0209
"ongelijkheid",42,0.0209
"nederlander",42,0.0209
"elke",42,0.0209
"komende",42,0.0209
"norm",42,0.0209
"reden",42,0.0209
"pakken",41,0.0204
"dezelfde",41,0.0204
"kleine",41,0.0204
"verkiezingsprogramma",41,0.0204
"begrijp",41,0.0204
"mooi",41,0.0204
"prima",41,0.0204
"richting",40,0.0199
"opnieuw",40,0.0199
"ouders",40,0.0199
"mening",40,0.0199
"daarna",40,0.0199
"krijg",40,0.0199
"neemt",40,0.0199
"beschouwingen",40,0.0199
"zes",40,0.0199
"trots",39,0.0194
"helder",39,0.0194
"buiten",39,0.0194
"politici",39,0.0194
"gekregen",39,0.0194
"huis",39,0.0194
"vooruit",39,0.0194
"ruimte",39,0.0194
"zorgfonds",39,0.0194
"stap",38,0.0189
"gekomen",38,0.0189
"dagen",38,0.0189
"centraal",38,0.0189
"staatssecretaris",38,0.0189
"leidt",38,0.0189
"kon",38,0.0189
"helpen",38,0.0189
"geweld",38,0.0189
"doorgerekend",37,0.0184
"voorbeeld",37,0.0184
"klaar",37,0.0184
"straks",37,0.0184
"grondwet",37,0.0184
"steun",37,0.0184
"liggen",37,0.0184
"zaak",37,0.0184
"verschillende",37,0.0184
"godsdienst",37,0.0184
"collega",37,0.0184
"rest",37,0.0184
"gezinnen",37,0.0184
"ene",37,0.0184
"niks",37,0.0184
"erop",37,0.0184
"marktwerking",36,0.0179
"tafel",36,0.0179
"geloof",36,0.0179
"strijd",36,0.0179
200,36,0.0179
"politie",36,0.0179
"vrouwen",36,0.0179
"samenwerken",36,0.0179
"gebruiken",36,0.0179
2016,36,0.0179
"normen",36,0.0179
"achter",36,0.0179
"asielzoekers",36,0.0179
2,35,0.0174
"baan",35,0.0174
"welke",35,0.0174
"school",35,0.0174
"feiten",35,0.0174
"bezig",35,0.0174
"nationaal",35,0.0174
"oplossing",35,0.0174
"ingediend",35,0.0174
"daarop",35,0.0174
"enorm",35,0.0174
"griekenland",35,0.0174
"totaal",35,0.0174
"sluiten",35,0.0174
"zin",35,0.0174
15,34,0.0169
"loopt",34,0.0169
"krol",34,0.0169
"weinig",34,0.0169
"kuzu/öztürk",34,0.0169
"stelsel",34,0.0169
"grenzen",34,0.0169
"men",34,0.0169
"probeert",34,0.0169
"brengen",34,0.0169
"wachten",34,0.0169
3,33,0.0164
"stel",33,0.0164
"kabinetsbeleid",33,0.0164
"kiezer",33,0.0164
"groter",33,0.0164
"scholen",33,0.0164
"vertrouwen",33,0.0164
"tegenover",33,0.0164
"laag",33,0.0164
"erbij",33,0.0164
"denkt",33,0.0164
"heen",33,0.0164
"basis",33,0.0164
"leveren",33,0.0164
"bedrag",33,0.0164
"stond",33,0.0164
"tegenbegroting",33,0.0164
"paspoort",33,0.0164
"volgend",33,0.0164
"tijdens",33,0.0164
"grootste",32,0.0159
"situatie",32,0.0159
"financiële",32,0.0159
"kort",32,0.0159
"bedrijven",32,0.0159
"waarvan",32,0.0159
"voeren",32,0.0159
"brief",32,0.0159
"generaties",32,0.0159
"sorry",32,0.0159
"lukt",32,0.0159
"hoge",32,0.0159
"ziek",32,0.0159
2012,32,0.0159
"ondernemers",32,0.0159
"ter",32,0.0159
"slag",32,0.0159
"ooit",31,0.0154
"taal",31,0.0154
"moeilijk",31,0.0154
"verdrag",31,0.0154
"meerderheid",31,0.0154
"genoemd",31,0.0154
"sprake",31,0.0154
"perspectief",31,0.0154
"collega's",31,0.0154
"zomer",31,0.0154
"rond",31,0.0154
"cpb",31,0.0154
"50plus",31,0.0154
"verlagen",31,0.0154
"noem",31,0.0154
"pas",31,0.0154
"verbieden",31,0.0154
"pensioenen",31,0.0154
"waarmee",31,0.0154
"daardoor",31,0.0154
"korte",30,0.0149
"gevoel",30,0.0149
"enkele",30,0.0149
"arbeidsmarkt",30,0.0149
"tien",30,0.0149
"langer",30,0.0149
"sector",30,0.0149
"normaal",30,0.0149
"rechtsstaat",30,0.0149
"constaterende",30,0.0149
"boven",30,0.0149
"vijf",30,0.0149
"bepaalde",30,0.0149
"sta",30,0.0149
"kwaliteit",30,0.0149
"keuzevrijheid",29,0.0144
"rente",29,0.0144
"vraagt",29,0.0144
"moslims",29,0.0144
"wijze",29,0.0144
"gezamenlijk",29,0.0144
"kabinetsperiode",29,0.0144
"godsdienstvrijheid",29,0.0144
"ding",29,0.0144
"wonen",29,0.0144
"vanwege",29,0.0144
"hogere",29,0.0144
"dubbele",29,0.0144
"financiering",29,0.0144
"werkelijkheid",29,0.0144
"maart",29,0.0144
"hoger",29,0.0144
"moest",28,0.0139
"fors",28,0.0139
"zichzelf",28,0.0139
"hoeveel",28,0.0139
"taak",28,0.0139
"kiezers",28,0.0139
"vrouw",28,0.0139
"financieel",28,0.0139
"middelen",28,0.0139
"weken",28,0.0139
"erdogan",28,0.0139
"delen",28,0.0139
"gebruikt",28,0.0139
"grens",28,0.0139
"hoog",28,0.0139
"belastingen",28,0.0139
"noemde",28,0.0139
"beginnen",28,0.0139
"rapport",28,0.0139
"zorgkosten",28,0.0139
"beraadslaging",28,0.0139
"effecten",28,0.0139
"achtergrond",28,0.0139
"neem",28,0.0139
"hoeft",28,0.0139
"realiseren",28,0.0139
"oud",28,0.0139
"uur",28,0.0139
"zat",28,0.0139
"lasten",28,0.0139
"ergens",28,0.0139
"nogmaals",28,0.0139
50,27,0.0134
"gebeurd",27,0.0134
"weleens",27,0.0134
"duidelijkheid",27,0.0134
"sommige",27,0.0134
"onderwerp",27,0.0134
"leiden",27,0.0134
"aandacht",27,0.0134
"internationale",27,0.0134
"verworvenheden",27,0.0134
"werden",27,0.0134
"dadelijk",27,0.0134
"kennen",27,0.0134
"investeren",27,0.0134
"derde",27,0.0134
"deed",27,0.0134
"druk",27,0.0134
"leden",27,0.0134
"sociaal",27,0.0134
"nieuw",27,0.0134
"bijzonder",27,0.0134
"euro",27,0.0134
"stappen",27,0.0134
"oekraïne",27,0.0134
"gevoerd",27,0.0134
"handen",27,0.0134
17,26,0.0129
"belastingstelsel",26,0.0129
"defensie",26,0.0129
"tegelijkertijd",26,0.0129
"helaas",26,0.0129
"belasting",26,0.0129
"voorbeelden",26,0.0129
"voorgesteld",26,0.0129
100,26,0.0129
"dacht",26,0.0129
"opmerking",26,0.0129
"belangrijke",26,0.0129
"gericht",26,0.0129
"budget",26,0.0129
34550,26,0.0129
"onderdeel",26,0.0129
"gezet",26,0.0129
"absoluut",26,0.0129
"gesprek",26,0.0129
"waarbij",26,0.0129
"indruk",26,0.0129
"zomaar",26,0.0129
"betaald",26,0.0129
"integratie",26,0.0129
"inzetten",26,0.0129
"bang",25,0.0124
"boodschap",25,0.0124
"gebruik",25,0.0124
"herstel",25,0.0124
"verzoekt",25,0.0124
"brug",25,0.0124
"hoeven",25,0.0124
"verleden",25,0.0124
"thuiszorg",25,0.0124
"meteen",25,0.0124
"hoogste",25,0.0124
"bestrijden",25,0.0124
"einde",25,0.0124
"hart",25,0.0124
"gemeenten",25,0.0124
"noemen",25,0.0124
"sturen",25,0.0124
"rekening",25,0.0124
"werkgelegenheid",25,0.0124
"midden",25,0.0124
"neer",25,0.0124
"leren",25,0.0124
"gek",25,0.0124
"lager",25,0.0124
"lange",25,0.0124
"tweedeling",25,0.0124
"aangegeven",25,0.0124
"morgen",24,0.0119
"noemt",24,0.0119
"pensioen",24,0.0119
"uitkering",24,0.0119
"afspraak",24,0.0119
"veranderen",24,0.0119
"toezegging",24,0.0119
"genomen",24,0.0119
"waard",24,0.0119
"afschaffen",24,0.0119
"kansen",24,0.0119
"samenwerking",24,0.0119
"nederlands",24,0.0119
"onmiddellijk",24,0.0119
"waarover",24,0.0119
"zondag",24,0.0119
"zult",24,0.0119
"gekeken",24,0.0119
"verdienen",24,0.0119
"macht",24,0.0119
"gesloten",24,0.0119
"blijf",24,0.0119
"werknemers",24,0.0119
"houdt",24,0.0119
"regio",24,0.0119
"enorme",23,0.0114
"pensioenfondsen",23,0.0114
"vroeg",23,0.0114
"christelijke",23,0.0114
"naartoe",23,0.0114
"jullie",23,0.0114
"meeste",23,0.0114
"gekozen",23,0.0114
"wachtlijsten",23,0.0114
"lijn",23,0.0114
"portemonnee",23,0.0114
"ermee",23,0.0114
"unie",23,0.0114
"groei",23,0.0114
"trekken",23,0.0114
"wilden",23,0.0114
"zoeken",23,0.0114
"begint",23,0.0114
"overwegende",23,0.0114
"syrië",23,0.0114
"rekenen",23,0.0114
"eind",23,0.0114
"kwijt",23,0.0114
"gaf",23,0.0114
"acht",23,0.0114
"turken",23,0.0114
"los",23,0.0114
"rechter",23,0.0114
"ver",23,0.0114
"bezuinigingen",23,0.0114
"regels",23,0.0114
"afgesproken",23,0.0114
"sinds",23,0.0114
"stem",22,0.0109
"niveau",22,0.0109
"accepteren",22,0.0109
"gedrag",22,0.0109
"ideologie",22,0.0109
"wilde",22,0.0109
"bedrijfsleven",22,0.0109
"verzoek",22,0.0109
"straat",22,0.0109
"vaker",22,0.0109
"duurzame",22,0.0109
"geloven",22,0.0109
"achterban",22,0.0109
"sterker",22,0.0109
"dekking",22,0.0109
"fundamentele",22,0.0109
"effect",22,0.0109
"artikel",22,0.0109
"durven",22,0.0109
"wantrouwen",22,0.0109
"behandeling",22,0.0109
"griekse",22,0.0109
"slecht",22,0.0109
"min",22,0.0109
"mogelijkheden",22,0.0109
"grondrechten",22,0.0109
"bewust",22,0.0109
"zag",22,0.0109
"betere",22,0.0109
"jonge",22,0.0109
"opvatting",22,0.0109
"ondersteund",22,0.0109
7,21,0.0104
"terroristen",21,0.0104
"geschiedenis",21,0.0104
"beloftes",21,0.0104
"gevaar",21,0.0104
"coalitie",21,0.0104
"miljarden",21,0.0104
"bieden",21,0.0104
"winst",21,0.0104
"vandaan",21,0.0104
"roept",21,0.0104
"kwamen",21,0.0104
"eindelijk",21,0.0104
"allebei",21,0.0104
"bestaat",21,0.0104
"daaraan",21,0.0104
"verdedigen",21,0.0104
"meest",21,0.0104
"elk",21,0.0104
"evenwichtig",21,0.0104
"gevallen",21,0.0104
"besteden",21,0.0104
"allen",21,0.0104
"rechten",21,0.0104
"maatschappelijke",21,0.0104
"bijstand",21,0.0104
"nationaliteit",21,0.0104
"zet",21,0.0104
"gepensioneerden",20,0.0099
"gewerkt",20,0.0099
"principe",20,0.0099
"degelijk",20,0.0099
"stelselwijziging",20,0.0099
"vrije",20,0.0099
"ingewikkeld",20,0.0099
"datgene",20,0.0099
"dicht",20,0.0099
"angst",20,0.0099
"beste",20,0.0099
"leggen",20,0.0099
"vallen",20,0.0099
"stelt",20,0.0099
"chronisch",20,0.0099
"referendum",20,0.0099
"inhoudelijk",20,0.0099
"lagere",20,0.0099
"klaveren",20,0.0099
"gebied",20,0.0099
"onmogelijk",20,0.0099
"beschikbaar",20,0.0099
"bed",20,0.0099
"ken",20,0.0099
"stijgen",20,0.0099
"gestegen",20,0.0099
"oog",20,0.0099
"rol",20,0.0099
"belofte",20,0.0099
"brussel",20,0.0099
"konden",20,0.0099
30,19,0.0094
"kern",19,0.0094
"waarvoor",19,0.0094
"slechts",19,0.0094
"indiening",19,0.0094
"punten",19,0.0094
"modaal",19,0.0094
"heffingskorting",19,0.0094
"bontes/van",19,0.0094
"stemmen",19,0.0094
"stand",19,0.0094
"namens",19,0.0094
"kritiek",19,0.0094
"doordat",19,0.0094
"hulp",19,0.0094
"bestaan",19,0.0094
"overeind",19,0.0094
"hierover",19,0.0094
"vele",19,0.0094
"idee",19,0.0094
"probeer",19,0.0094
"daadwerkelijk",19,0.0094
"zojuist",19,0.0094
"gevolgen",19,0.0094
"verdient",19,0.0094
"bevolking",19,0.0094
"laagste",19,0.0094
"buitenlandse",19,0.0094
"inzet",19,0.0094
"moskeeën",19,0.0094
"wijs",19,0.0094
"zieken",19,0.0094
"word",19,0.0094
"stonden",19,0.0094
"onderscheid",18,0.0089
"ogen",18,0.0089
"gevolg",18,0.0089
"bedoeling",18,0.0089
"zeiden",18,0.0089
"oude",18,0.0089
"moesten",18,0.0089
"rotterdam",18,0.0089
"toegenomen",18,0.0089
"camera",18,0.0089
"eerlijke",18,0.0089
"jammer",18,0.0089
"generatie",18,0.0089
"plek",18,0.0089
"leuk",18,0.0089
"uitgaven",18,0.0089
400,18,0.0089
"frankrijk",18,0.0089
"eruit",18,0.0089
"veranderd",18,0.0089
"justitie",18,0.0089
"voordat",18,0.0089
"houd",18,0.0089
"geregeld",18,0.0089
"aanpak",18,0.0089
"armoede",18,0.0089
"traditie",18,0.0089
"zowel",18,0.0089
2014,18,0.0089
"roepen",18,0.0089
"ruim",18,0.0089
"pleurt",18,0.0089
"doorgaan",18,0.0089
"nieuws",18,0.0089
"serieus",18,0.0089
"veilig",18,0.0089
"christenen",18,0.0089
"echte",18,0.0089
"beperkt",18,0.0089
"gingen",18,0.0089
"kennelijk",18,0.0089
"tocqueville",18,0.0089
"bekend",18,0.0089
"juli",18,0.0089
"financiën",18,0.0089
6,17,0.0084
"koste",17,0.0084
"status",17,0.0084
"koran",17,0.0084
"stil",17,0.0084
"bezuiniging",17,0.0084
"oplossen",17,0.0084
"fatsoenlijk",17,0.0084
"zolang",17,0.0084
"ministerie",17,0.0084
"klas",17,0.0084
"kost",17,0.0084
"dieren",17,0.0084
"gegroeid",17,0.0084
"beide",17,0.0084
"begon",17,0.0084
"ceta",17,0.0084
"werkloosheid",17,0.0084
"huisarts",17,0.0084
"normale",17,0.0084
20.00%,17,0.0084
"water",17,0.0084
"alternatief",17,0.0084
"doorrekenen",17,0.0084
"aangenomen",17,0.0084
"ontraad",17,0.0084
"bezwaar",17,0.0084
"helft",17,0.0084
"ziekenhuizen",17,0.0084
"ontzettend",17,0.0084
"kreeg",17,0.0084
"syriërs",17,0.0084
"gezin",17,0.0084
"jongens",17,0.0084
"blijkbaar",17,0.0084
"totale",17,0.0084
"raad",17,0.0084
"zoveel",17,0.0084
2015,17,0.0084
2013,17,0.0084
"gekort",17,0.0084
"volgen",17,0.0084
"moties",17,0.0084
"investeringen",17,0.0084
"harder",17,0.0084
"maatregel",17,0.0084
"kapot",17,0.0084
"doorgaat",17,0.0084
"minimumloon",17,0.0084
"langs",17,0.0084
"bereiken",17,0.0084
"oprecht",17,0.0084
4,16,0.0079
"raakt",16,0.0079
"cultuur",16,0.0079
"groeit",16,0.0079
"kerk",16,0.0079
"boek",16,0.0079
"wetsvoorstel",16,0.0079
"landbouw",16,0.0079
"aangeven",16,0.0079
"volledig",16,0.0079
"regelen",16,0.0079
"handhaven",16,0.0079
"kloof",16,0.0079
"spreekt",16,0.0079
"zwaar",16,0.0079
"leefomgeving",16,0.0079
"kolencentrales",16,0.0079
"heet",16,0.0079
"radicale",16,0.0079
"sterk",16,0.0079
"miljoenen",16,0.0079
"tegenstelling",16,0.0079
"moeilijke",16,0.0079
"praatjes",16,0.0079
"oplossingen",16,0.0079
"werkelijk",16,0.0079
"mark",16,0.0079
"ontwikkelingssamenwerking",16,0.0079
"haalt",16,0.0079
"premies",16,0.0079
"kwestie",16,0.0079
"energieakkoord",16,0.0079
"betoog",16,0.0079
"akkoord",16,0.0079
"veranderingen",16,0.0079
"ontstaan",16,0.0079
"antwoorden",16,0.0079
"honderd",16,0.0079
"kader",16,0.0079
"ontwikkeling",16,0.0079
"afrika",16,0.0079
"gelijke",16,0.0079
"aow",16,0.0079
"name",16,0.0079
"gevonden",16,0.0079
"werkgevers",16,0.0079
"lid",16,0.0079
"erom",16,0.0079
"mis",16,0.0079
"nul",16,0.0079
"naast",16,0.0079
"pak",16,0.0079
"top",16,0.0079
"kregen",16,0.0079
"overtuigd",16,0.0079
"jong",16,0.0079
"buitenland",16,0.0079
"overleg",16,0.0079
"omgaan",16,0.0079
"uitspraak",16,0.0079
0,15,0.0074
"tegenstellingen",15,0.0074
2.00%,15,0.0074
"rechtvaardig",15,0.0074
"positie",15,0.0074
"et",15,0.0074
"eu",15,0.0074
"ondersteuning",15,0.0074
"durft",15,0.0074
"verbeteren",15,0.0074
